location,latitude,longitude,confirmed,dead,recovered,updated
Kassel,51.3127114,9.4797461,450,18,None,2020-04-18 00:00:00+00:00
Berlin Lichtenberg,52.5335904,13.4998575,195,5,None,2020-04-18 00:00:00+00:00
Lübeck,53.8654673,10.6865593,154,1,None,2020-04-18 00:00:00+00:00
Northeim,51.7001785,9.9959057,92,0,None,2020-04-18 00:00:00+00:00
Freudenstadt,48.4644796,8.4179988,470,17,None,2020-04-18 00:00:00+00:00
Nienburg (Weser),52.6380924,9.2084155,62,1,None,2020-04-18 00:00:00+00:00
São Gabriel,-30.3340579,-54.323014,1,0,None,2020-04-19 01:22:28.605734+00:00
Erechim,-27.6349118,-52.2735436,4,0,None,2020-04-19 01:22:19.017855+00:00
Sigmaringen,48.0912921,9.2286121,691,26,None,2020-04-18 00:00:00+00:00
Eldorado do Sul,-30.0974468,-51.6486422,1,0,None,2020-04-19 01:22:18.940395+00:00
